order_id,date,time,order_time
1,01-01-2015,11:38:36,2015-01-01T11:38:36Z
2,01-01-2015,11:57:40,2015-01-01T11:57:40Z
3,01-01-2015,12:12:28,2015-01-01T12:12:28Z
4,01-01-2015,12:16:31,2015-01-01T12:16:31Z
5,01-01-2015,12:21:30,2015-01-01T12:21:30Z
6,01-01-2015,12:29:36,2015-01-01T12:29:36Z
7,01-01-2015,12:50:37,2015-01-01T12:50:37Z
8,01-01-2015,12:51:37,2015-01-01T12:51:37Z
9,01-01-2015,12:52:01,2015-01-01T12:52:01Z
10,01-01-2015,13:00:15,2015-01-01T13:00:15Z
11,01-01-2015,13:02:59,2015-01-01T13:02:59Z
12,01-01-2015,13:04:41,2015-01-01T13:04:41Z
13,01-01-2015,13:11:55,2015-01-01T13:11:55Z
14,01-01-2015,13:14:19,2015-01-01T13:14:19Z
15,01-01-2015,13:33:00,2015-01-01T13:33:00Z
16,01-01-2015,13:34:07,2015-01-01T13:34:07Z
17,01-01-2015,13:53:00,2015-01-01T13:53:00Z
18,01-01-2015,13:57:08,2015-01-01T13:57:08Z
19,01-01-2015,13:59:09,2015-01-01T13:59:09Z
20,01-01-2015,14:03:08,2015-01-01T14:03:08Z
21,01-01-2015,14:14:29,2015-01-01T14:14:29Z
22,01-01-2015,14:16:26,2015-01-01T14:16:26Z
23,01-01-2015,14:19:03,2015-01-01T14:19:03Z
24,01-01-2015,14:23:01,2015-01-01T14:23:01Z
25,01-01-2015,14:44:44,2015-01-01T14:44:44Z
26,01-01-2015,14:54:26,2015-01-01T14:54:26Z
27,01-01-2015,15:11:17,2015-01-01T15:11:17Z
28,01-01-2015,15:35:46,2015-01-01T15:35:46Z
29,01-01-2015,15:41:01,2015-01-01T15:41:01Z
30,01-01-2015,15:41:25,2015-01-01T15:41:25Z
31,01-01-2015,15:50:18,2015-01-01T15:50:18Z
32,01-01-2015,15:53:18,2015-01-01T15:53:18Z
33,01-01-2015,15:54:08,2015-01-01T15:54:08Z
34,01-01-2015,16:21:21,2015-01-01T16:21:21Z
35,01-01-2015,16:32:04,2015-01-01T16:32:04Z
36,01-01-2015,16:54:09,2015-01-01T16:54:09Z
37,01-01-2015,16:56:09,2015-01-01T16:56:09Z
38,01-01-2015,17:03:00,2015-01-01T17:03:00Z
39,01-01-2015,17:07:23,2015-01-01T17:07:23Z
40,01-01-2015,17:14:36,2015-01-01T17:14:36Z
41,01-01-2015,17:15:20,2015-01-01T17:15:20Z
42,01-01-2015,17:28:09,2015-01-01T17:28:09Z
43,01-01-2015,17:38:34,2015-01-01T17:38:34Z
44,01-01-2015,17:54:20,2015-01-01T17:54:20Z
45,01-01-2015,17:55:48,2015-01-01T17:55:48Z
46,01-01-2015,18:25:51,2015-01-01T18:25:51Z
47,01-01-2015,18:26:34,2015-01-01T18:26:34Z
48,01-01-2015,18:26:42,2015-01-01T18:26:42Z
49,01-01-2015,18:33:00,2015-01-01T18:33:00Z
50,01-01-2015,18:41:01,2015-01-01T18:41:01Z
51,01-01-2015,18:48:28,2015-01-01T18:48:28Z
52,01-01-2015,18:53:02,2015-01-01T18:53:02Z
53,01-01-2015,18:54:17,2015-01-01T18:54:17Z
54,01-01-2015,19:01:45,2015-01-01T19:01:45Z
55,01-01-2015,19:03:19,2015-01-01T19:03:19Z
56,01-01-2015,19:07:00,2015-01-01T19:07:00Z
57,01-01-2015,19:10:51,2015-01-01T19:10:51Z
58,01-01-2015,19:30:40,2015-01-01T19:30:40Z
59,01-01-2015,19:40:08,2015-01-01T19:40:08Z
60,01-01-2015,20:05:16,2015-01-01T20:05:16Z
61,01-01-2015,20:08:43,2015-01-01T20:08:43Z
62,01-01-2015,20:50:16,2015-01-01T20:50:16Z
63,01-01-2015,20:51:42,2015-01-01T20:51:42Z
64,01-01-2015,20:52:08,2015-01-01T20:52:08Z
65,01-01-2015,21:16:00,2015-01-01T21:16:00Z
66,01-01-2015,21:47:55,2015-01-01T21:47:55Z
67,01-01-2015,22:03:40,2015-01-01T22:03:40Z
68,01-01-2015,22:07:32,2015-01-01T22:07:32Z
69,01-01-2015,22:12:13,2015-01-01T22:12:13Z
70,02-01-2015,11:38:51,2015-01-02T11:38:51Z
71,02-01-2015,11:40:50,2015-01-02T11:40:50Z
72,02-01-2015,11:57:25,2015-01-02T11:57:25Z
73,02-01-2015,11:58:56,2015-01-02T11:58:56Z
74,02-01-2015,12:01:12,2015-01-02T12:01:12Z
